name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Bandung, Indonesia",2019-04-30,28.8,22.7,25.7,32.8,22.7,26.5,23.7,89,21.11,100,20.83,rain,0,0,,16.5,132.1,,73.3,4.3,241.8,20.9,9,,2019-04-30T05:50:38,2019-04-30T17:43:01,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-01,28.3,21.9,25.5,32.5,21.9,26.4,22.8,85.8,16.565,100,20.83,rain,0,0,,22.2,128.7,,57.4,7.8,255.3,21.9,9,,2019-05-01T05:50:39,2019-05-01T17:42:44,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-02,28.9,22.1,25.3,31.3,22.1,26.1,22.7,86,3.026,100,8.33,rain,0,0,,27.6,185.9,,88,6,241.4,21,8,,2019-05-02T05:50:41,2019-05-02T17:42:28,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-03,29.7,21.9,25.5,33.4,21.9,26.5,22.8,85.4,39.779,100,4.17,rain,0,0,,16.5,147.7,,78.1,5.8,235.3,20.2,8,,2019-05-03T05:50:44,2019-05-03T17:42:12,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-04,28.4,21.1,25.2,31.5,21.1,26,22.7,86.5,3.004,100,8.33,rain,0,0,,27.6,142.7,,63,4.6,254,21.9,9,,2019-05-04T05:50:47,2019-05-04T17:41:57,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-05,27.2,21.6,24.8,29.7,21.6,25.3,22.5,87.6,7.043,100,12.5,rain,0,0,,22.2,124.8,,74.1,4.9,225.7,19.5,7,,2019-05-05T05:50:50,2019-05-05T17:41:43,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-06,29.2,21.2,25.4,32.5,21.2,26.1,22.6,85.1,4.017,100,8.33,rain,0,0,,18.3,116.2,,52,5.9,262.5,22.7,9,,2019-05-06T05:50:54,2019-05-06T17:41:29,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-07,28.4,20.7,25.1,32,20.7,26,22.9,88.1,33.881,100,12.5,rain,0,0,,27.6,114.4,,71.1,4.3,155.7,13.4,6,,2019-05-07T05:50:58,2019-05-07T17:41:17,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-08,27.9,20.9,25.2,30.4,20.9,25.7,23,88.5,18.928,100,20.83,rain,0,0,,27.4,139.6,,65.1,4,150.2,13.1,6,,2019-05-08T05:51:03,2019-05-08T17:41:04,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96791099999,96781099999,remote,96751099999"
"Bandung, Indonesia",2019-05-09,28.2,21.4,25.2,30.7,21.4,26,22.5,85.3,15.947,100,16.67,rain,0,0,,20.9,123.8,,76.4,6,206.9,17.8,7,,2019-05-09T05:51:08,2019-05-09T17:40:53,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96791099999,96781099999,remote,96751099999"
